TOXITOUCHE	POISON_TOUCH
TECHNICIEN	TECHNICIAN
HYPER_CUTTER	HYPER_CUTTER
ANNULE_GARDE	NO_GUARD
COEUR_SOIN	HEALER
PIED_VELOCE	QUICK_FEET
REGARD_VIF	KEEN_EYE
IMPUDENCE	MOXIE
SYNCHRO	SYNCHRONIZE
IGNIFUGE	HEATPROOF
CORPS_SAIN	CLEAR_BODY
ISOGRAISSE	THICK_FAT
GLISSADE	SWIFT_SWIM
ATTENTION	INNER_FOCUS
IGNIFU_VOILE	WATER_VEIL
ABRI_PROT	PROTECT
GRIFFE_DURE	TOUGH_CLAWS
PUANTEUR	STENCH
PROGNATHE	STRONG_JAW
ANALYSTE	ANALYTIC
COEUR_NOBLE	JUSTIFIED
SUINTEMENT	LIQUID_OOZE
ARMUROUILLEE	WEAK_ARMOR
TERA_VOLTAGE	TERAVOLT
GLOUTONNERIE	GLUTTONY
DEGUISEMENT	COLOR_CHANGE
ARMUMAGMA	MAGMA_ARMOR
BRASIER	BLAZE
PEAU_SECHE	DRY_SKIN
AIR_LOCK	AIR_LOCK
SECHERESSE	DROUGHT
SYMBIOSE	SYMBIOSIS
COLERIQUE	ANGER_POINT
CORPS_ARDENT	FLAME_BODY
GLUE	STICKY_HOLD
SOIN_POISON	POISON_HEAL
LEVITATION	LEVITATE
FERMETE	STURDY
POINT_POISON	POISON_POINT
ECAILLE_SPECIALE	MARVEL_SCALE
VENTOUSE	SUCTION_CUPS
SOLIDE_ROC	SOLID_ROCK
POING_DE_FER	IRON_FIST
POISSEUX	GOOEY
TORCHE	FLASH_FIRE
GARDE_MYSTIK	WONDER_GUARD
STATIK	STATIC
TETE_DE_ROC	ROCK_HEAD
MULTITYPE	MULTITYPE
CRAN	GUTS
ARMURBASTON	BATTLE_ARMOR
NORMALISE	NORMALIZE
MAGNEPIEGE	MAGNET_PULL
MUE	SHED_SKIN
TELECHARGE	DOWNLOAD
PARATONNERRE	LIGHTNINGROD
GLUCO_VOILE	SWEET_VEIL
FORCE_PURE	PURE_POWER
RIVALITE	RIVALRY
PHOBIQUE	RATTLED
MOTORISE	MOTOR_DRIVE
PEAU_DURE	ROUGH_SKIN
POSE_SPORE	EFFECT_SPORE
ECHAUFFEMENT	LIMBER
BENET	OBLIVIOUS
CHLOROPHYLLE	CHLOROPHYLL
REGE_FORCE	REGENERATOR
AROMA_VOILE	AROMA_VEIL
SANS_LIMITE	SHEER_FORCE
PEAU_GELEE	REFRIGERATE
METEO	FORECAST
ACHARNE	DEFIANT
SIMPLE	SIMPLE
FORCE_SABLE	SAND_FORCE
JOLI_SOURIRE	CUTE_CHARM
DECLIC_TACTIQUE	STANCE_CHANGE
CONTESTATION	CONTRARY
RIDEAU_NEIGE	SNOW_CLOAK
ECRAN_FUMEE	WHITE_SMOKE
DELESTAGE	UNBURDEN
PEAU_FEERIQUE	PIXILATE
CORPS_GEL	ICE_BODY
CIEL_GRIS	CLOUD_NINE
TELEPATHE	TELEPATHY
MEGA_BLASTER	MEGA_LAUNCHER
CRACHIN	DRIZZLE
MAUVAIS_REVE	BAD_DREAMS
BRISE_MOULE	MOLD_BREAKER
BOOM_FINAL	AFTERMATH
FREIN	STALL
PIEGE	ARENA_TRAP
MEDIC_NATURE	NATURAL_CURE
CONTRASTE	ELECRIFYING
INFILTRATION	INFILTRATOR
ENGRAIS	OVERGROW
MARQUE_OMBRE	SHADOW_TAG
DON_FLORAL	FLOWER_GIFT
GARDE_AMIE	FRIEND_GUARD
QUERELLEUR	SCRAPPY
OEIL_COMPOSE	COMPOUNDEYES
VACCIN	IMMUNITY
ECRAN_POUDRE	SHIELD_DUST
VICTORIEUX	VICTORY_STAR
VOILE_SABLE	SAND_VEIL
PLUS	PLUS
CHANCEUX	SUPER_LUCK
SERENITE	SERENE_GRAC
RECOLTE	HARVEST
ABSORB_VOLT	VOLT_ABSORB
CALQUE	TRACE
ENVELOCAPE	OVERCOAT
MULTI_COUPS	SKILL_LINK
COQUE_ARMURE	SHELL_ARMOR
ESSAIM	SWARM
AURA_FEERIQUE	FAIRY_AURA
INTIMIDANT	INTIMIDATE
ABSORB_EAU	WATER_ABSORB
INCONSCIENT	UNAWARE
BAIGNE_SABLE	SAND_RUSH
HYDRATATION	HYDRATION
ALERTE_NEIGE	SNOW_WARNING
GARDE_MAGIK	MAGIC_GUARD
AURA_TENEBREUSE	DARK_AURA
MOMIE	MUMMY
MINUS	MINUS
TURBOBRASIER	TURBOBLAZE
FLORA_VOILE	FLOWER_VEIL
COEUR_DE_COQ	BIG_PECKS
SABLE_VOLANT	SAND_STREAM
AURA_INVERSEE	AURA_BREAK
HERBIVORE	SAP_SIPPER
TORRENT	TORRENT
CUVETTE	RAIN_DISH
SNIPER	SNIPER
MAGICIEN	MAGICIAN
TOISON_EPAISSE	FUR_COAT
MOITEUR	DAMP
FORCE_SOLEIL	SOLAR_POWER
TURBO	SPEED_BOOST
EPINE_DE_FER	IRON_BARBS
BAJOUES	CHEEK_POUCH
FILTRE	FILTER
MATINAL	EARLY_BIRD
ESPRIT_VITAL	VITAL_SPIRIT
FEUILLE_GARDE	LEAF_GUARD
TOISON_HERBUE	GRASS_PELT
INSOMNIA	INSOMNIA
LAVABO	STORM_DRAIN
PIEDS_CONFUS	TANGLED_FEET
ANTI_BRUIT	SOUNDPROOF
PRESSION	PRESSURE
PARE_BALLES	BULLETPROOF
AGITATION	HUSTLE
AILES_BOURRASQUE	GALE_WINGS
IMPASSIBLE	STEADFAST
TEMERAIRE	RECKLESS
LENTITEINTEE	TINTED_LENS
PROTEEN	PROTEAN
ADAPTABILITE	ADAPTABILITY
TENSION	UNNERVE
FARCEUR	PRANKSTER
PEAU_MIRACLE	WONDER_SKIN
TEMPO_PERSO	OWN_TEMPO
COLOFORCE	HUGE_POWER
